zip,x,y,city,case,death
35004,406.9118708,365.6539094,MOODY,16034,339
35005,305.0011833,372.0657359,ADAMSVILLE,114709,1924
35006,261.8465667,407.454503,ADGER,114709,1924
35007,342.7678375,468.9970514,ALABASTER,37575,350
35010,536.5157417,535.3518715,ALEXANDER CITY,7079,198
35013,410.3528583,285.3690018,ALLGOOD,10179,176
35014,452.532225,415.9421224,ALPINE,13827,283
35016,426.7752458,166.5128479,ARAB,18338,304
35019,358.7474458,198.8678025,BAILEYTON,15406,293
35020,324.3217083,406.4594427,BESSEMER,114709,1924
35022,308.7024333,428.8494321,BESSEMER,114709,1924
35023,313.3172458,397.0387495,BESSEMER,114709,1924
35031,388.7401042,242.7537641,BLOUNTSVILLE,10179,176
35032,432.02965,453.0037699,BON AIR,13827,283
35033,301.7622958,276.3673477,BREMEN,15406,293
35034,259.3399,520.379352,BRENT,4246,86
35035,310.3725,513.5464706,BRIERFIELD,4246,86
35036,318.9104417,357.4049129,BROOKSIDE,114709,1924
35040,356.2924792,482.7507545,CALERA,37575,350
35042,275.2172833,530.777467,CENTREVILLE,4246,86
35043,369.8024333,442.5839848,CHELSEA,37575,350
35044,427.0210167,455.7757774,CHILDERSBURG,13827,283
35045,370.4786458,553.8588834,CLANTON,6633,162
35046,371.2510125,546.3668281,CLANTON,6633,162
35049,388.6960417,271.3454306,CLEVELAND,10179,176
35051,389.6754042,459.0605598,COLUMBIANA,37575,350
35052,421.5112458,369.1878977,COOK SPRINGS,16034,339
35053,292.4333833,254.513819,CRANE HILL,15406,293
35054,439.4480125,384.2750672,CROPWELL,16034,339
35055,331.2512708,237.7691397,CULLMAN,15406,293
35057,313.3270375,243.639718,CULLMAN,15406,293
35058,351.0609875,212.899185,CULLMAN,15406,293
35060,316.3174125,376.9016934,DOCENA,114709,1924
35061,310.1641333,401.6202095,DOLOMITE,114709,1924
35062,291.7994708,332.3510144,DORA,11180,370
35063,297.1206542,309.2799291,EMPIRE,11180,370
35064,317.1109292,397.9413339,FAIRFIELD,114709,1924
35068,336.4788458,366.1084773,FULTONDALE,114709,1924
35070,351.468125,264.3008878,GARDEN CITY,15406,293
35071,332.2100708,339.7992256,GARDENDALE,114709,1924
35072,482.8417417,502.9359383,GOODWATER,1800,40
35073,341.3351208,351.5426499,GRAYSVILLE,114709,1924
35074,279.38305,466.6597056,GREEN POND,4246,86
35077,333.4900375,257.1187652,HANCEVILLE,15406,293
35078,408.3888458,467.5207136,HARPERSVILLE,37575,350
35079,352.3456542,277.5098149,HAYDEN,10179,176
35080,321.6965625,450.62132,HELENA,37575,350
35082,471.1861333,488.4462082,HOLLINS,2430,68
35083,343.3731583,227.4173886,HOLLY POND,15406,293
35085,354.563075,525.2785559,JEMISON,6633,162
35087,385.5088542,197.0822879,JOPPA,15406,293
35089,479.5723042,534.2887773,KELLYTON,1800,40
35091,341.5544542,323.7285868,KIMBERLY,114709,1924
35094,383.8742333,387.1382907,LEEDS,114709,1924
35096,448.2773542,405.3963485,LINCOLN,13827,283
35097,375.7232583,289.6997439,LOCUST FORK,10179,176
35098,297.2998417,231.0637591,LOGAN,15406,293
35111,292.9274708,442.2145854,MC CALLA,114709,1924
35112,407.1455,342.4036679,MARGARET,16034,339
35114,354.6316167,432.5860106,MAYLENE,37575,350
35115,325.2977417,483.2985542,MONTEVALLO,37575,350
35116,348.7231292,334.5187792,MORRIS,114709,1924
35117,326.9437208,357.142352,MOUNT OLIVE,114709,1924
35118,292.5064292,382.587824,MULGA,114709,1924
35119,347.6008083,353.7381323,NEW CASTLE,114709,1924
35120,423.2586667,352.1597435,ODENVILLE,16034,339
35121,389.9395833,273.7757562,ONEONTA,10179,176
35124,347.9409708,443.8642839,PELHAM,37575,350
35125,434.4926458,368.4405316,PELL CITY,16034,339
35126,372.0049708,333.8197929,PINSON,114709,1924
35127,325.1767167,379.3627604,PLEASANT GROVE,114709,1924
35128,432.4144625,369.7470364,PELL CITY,16034,339
35130,278.1463625,335.8522456,QUINTON,11180,370
35131,449.8724167,337.5115193,RAGLAND,16034,339
35133,383.4332167,304.5989379,REMLAP,10179,176
35135,454.9388208,360.9832493,RIVERSIDE,16034,339
35136,467.7700167,543.6656263,ROCKFORD,1800,40
35139,307.2282,338.5529435,SAYRE,114709,1924
35143,390.5482333,497.5277393,SHELBY,37575,350
35146,419.3729417,339.8695274,SPRINGVILLE,16034,339
35147,391.716575,412.13751,STERRETT,37575,350
35148,293.4720833,326.8057395,SUMITON,11180,370
35149,458.2021875,448.999843,SYCAMORE,13827,283
35150,453.5456625,438.1075996,SYLACAUGA,13827,283
35151,428.3505292,473.4981305,SYLACAUGA,13827,283
35160,469.9999708,420.1234417,TALLADEGA,13827,283
35171,350.2112667,544.655647,THORSBY,6633,162
35172,356.3825625,313.5862293,TRAFFORD,114709,1924
35173,383.5965417,354.8715283,TRUSSVILLE,114709,1924
35175,400.1546417,156.4007277,UNION GROVE,18338,304
35176,398.4638167,400.7513901,VANDIVER,37575,350
35178,388.4120833,439.7124461,VINCENT,37575,350
35179,317.0952625,200.5570615,VINEMONT,15406,293
35180,335.8169292,318.6371239,WARRIOR,114709,1924
35183,438.9169125,500.6819971,WEOGUFKA,1800,40
35184,274.7960458,492.0036305,WEST BLOCTON,4246,86
35186,401.0732958,445.7596608,WILSONVILLE,37575,350
35187,326.1316,497.3130542,WILTON,37575,350
35188,270.0043958,472.392452,WOODSTOCK,4246,86
35203,340.1217375,386.9054632,BIRMINGHAM,114709,1924
35204,334.244975,385.5823279,BIRMINGHAM,114709,1924
